id	test class	otm	tloc	tmut	oms	oam	ams	imp	atm	inck	akm	time
1	MDLDialogTest2	4	42	7	14.29	6	14.29	0.00	0	0.00	0	0:00:00
2	MDLDialogTest3	4	42	7	14.29	6	14.29	0.00	0	0.00	0	0:00:00
3	MDLDialogTest4	4	42	7	14.29	6	14.29	0.00	0	0.00	0	0:00:00
4	MDLDialogTest999	4	42	7	14.29	6	14.29	0.00	0	0.00	0	0:00:00
5	MDLDialogTest	4	42	7	14.29	6	14.29	0.00	0	0.00	0	0:00:00
6	MDLChipInitialTest	4	28	11	54.55	5	54.55	0.00	0	0.00	0	0:00:00
7	MDLListIconComponentTest	2	32	13	92.31	1	92.31	0.00	0	0.00	0	0:00:12
8	MDLApplicationTest	3	59	9	22.22	7	22.22	0.00	1	0.00	0	0:00:00
9	MDLButtonColumnDescriptionTest	3	35	4	75.00	1	100.00	25.00	1	0.33	1	0:00:00
10	MDLChipTagTest	6	34	5	60.00	2	60.00	0.00	0	0.00	0	0:00:00
11	MDLFoldButtonTest	3	67	12	66.67	4	66.67	0.00	0	0.00	0	0:00:22
12	MDLExpansionPanelTest	6	67	11	45.45	6	81.82	36.36	1	0.80	4	0:00:00
13	MDLPanelSwitcherButtonTest2	6	113	13	53.85	6	53.85	0.00	0	0.00	0	0:00:46
14	MDLPanelSwitcherButtonTest3	6	113	13	53.85	6	53.85	0.00	0	0.00	0	0:00:46
15	MDLPanelSwitcherButtonTest4	6	113	13	53.85	6	53.85	0.00	0	0.00	0	0:00:47
16	MDLPanelSwitcherButtonTest999	6	113	13	53.85	6	53.85	0.00	0	0.00	0	0:00:47
17	MDLPanelSwitcherButtonTest	6	113	13	53.85	6	53.85	0.00	0	0.00	0	0:00:47
18	MDLVerticalToolbarTest	5	33	6	83.33	1	83.33	0.00	0	0.00	0	0:00:00
19	MDLCalendarTest	13	72	60	81.67	11	81.67	0.00	0	0.00	0	0:00:15
20	MDLSnackbarTest	8	42	6	83.33	1	83.33	0.00	0	0.00	0	0:00:00
21	MDLDatePickerTest	11	12	1	0.00	1	100.00	100.00	1	-	1	0:00:09
22	MDLPaginationComponentTest2	11	164	59	71.19	17	71.19	0.00	0	0.00	0	0:00:27
23	MDLPaginationComponentTest3	11	164	59	71.19	17	71.19	0.00	0	0.00	0	0:00:27
24	MDLPaginationComponentTest4	11	164	59	71.19	17	71.19	0.00	0	0.00	0	0:00:26
25	MDLPaginationComponentTest999	11	164	59	71.19	17	71.19	0.00	0	0.00	0	0:00:27
26	MDLPaginationComponentTest	11	164	59	71.19	17	71.19	0.00	0	0.00	0	0:00:27
27	MDLNestedListTest2	11	468	134	41.04	79	47.01	5.97	1	0.15	8	0:00:14
28	MDLNestedListTest3	11	468	134	41.04	79	47.01	5.97	1	0.15	8	0:00:15
29	MDLNestedListTest4	11	468	134	41.04	79	47.01	5.97	1	0.15	8	0:00:15
30	MDLNestedListTest999	11	468	134	41.04	79	47.01	5.97	1	0.15	8	0:00:14
31	MDLNestedListTest	11	468	134	41.04	79	47.01	5.97	1	0.15	8	0:00:13
32	MDLTableWidgetTest	9	63	5	40.00	3	40.00	0.00	0	0.00	0	0:00:01
