Id		Project	TCN	TMN	ISIMP	IMPAVG	MUTK	GMN	TT
     1		Bloc	6	0	6	32.67	123	41	1:09:07
     2		DataFrame	5	64	3	8.00	13	7	0:15:56
     3		DiscordSt	45	430	31	16.13	164	81	43:08:03
     4		GraphQL	9	356	6	5.33	31	43	140:54:50
     5		MaterialDesignLite	16	105	8	14.12	36	11	0:27:22
     6		openponk	17	66	11	18.06	41	19	10:07:37
     7		petitparser2	38	485	22	12.53	128	51	8:19:17
     8		pharo-launcher	29	124	23	21.97	63	40	4:06:24
     9		Roassal3	15	61	8	10.20	40	18	29:48:26
    10		Seaside	40	433	17	11.85	106	42	4:12:00
    11		Telescope	12	51	7	27.33	35	19	0:29:03
    12		zinc	21	109	6	12.29	47	14	1:12:35
